_id|timestamp|sessionid|node|log|env_timestamp|type|direction|packet_id|unique_id
64608e71fe11522f1d30b581|1516325|2023-05-14 07:29:32.176|13|SendData 013212|2023-05-14 07:54:48.501|packet|send|013212|15013212
64608e71fe11522f1d30b582|1516342|2023-05-14 07:29:32.176|1|RecvData 010215|2023-05-14 07:54:48.518|packet|recv|010215|15010215
64608e71fe11522f1d30b583|1516766|2023-05-14 07:29:32.176|2|RecvData 013212|2023-05-14 07:54:48.942|packet|recv|013212|15013212
64608e71fe11522f1d30b584|1516889|2023-05-14 07:29:32.176|14|SendData 014211|2023-05-14 07:54:49.065|packet|send|014211|15014211
64608e71fe11522f1d30b585|1517156|2023-05-14 07:29:32.176|2|RecvData 014211|2023-05-14 07:54:49.332|packet|recv|014211|15014211
64608e71fe11522f1d30b586|1518381|2023-05-14 07:29:32.176|4|SendData 004221|2023-05-14 07:54:50.557|packet|send|004221|15004221
64608e71fe11522f1d30b587|1518460|2023-05-14 07:29:32.176|9|SendData 009217|2023-05-14 07:54:50.636|packet|send|009217|15009217
64608e71fe11522f1d30b588|1518597|2023-05-14 07:29:32.176|2|RecvData 009217|2023-05-14 07:54:50.773|packet|recv|009217|15009217
64608e71fe11522f1d30b589|1518646|2023-05-14 07:29:32.176|7|SendData 007219|2023-05-14 07:54:50.822|packet|send|007219|15007219
64608e71fe11522f1d30b58a|1518688|2023-05-14 07:29:32.176|2|RecvData 007219|2023-05-14 07:54:50.864|packet|recv|007219|15007219
64608e71fe11522f1d30b58b|1518698|2023-05-14 07:29:32.176|1|RecvData 004221|2023-05-14 07:54:50.874|packet|recv|004221|15004221
64608e71fe11522f1d30b58c|1519081|2023-05-14 07:29:32.176|6|SendData 006220|2023-05-14 07:54:51.257|packet|send|006220|15006220
64608e71fe11522f1d30b58d|1519123|2023-05-14 07:29:32.176|2|RecvData 006220|2023-05-14 07:54:51.299|packet|recv|006220|15006220
64608e71fe11522f1d30b58e|1519123|2023-05-14 07:29:32.176|5|SendData 005221|2023-05-14 07:54:51.299|packet|send|005221|15005221
64608e71fe11522f1d30b58f|1519153|2023-05-14 07:29:32.176|2|RecvData 005221|2023-05-14 07:54:51.329|packet|recv|005221|15005221
64608e72fe11522f1d30b590|1519428|2023-05-14 07:29:32.176|12|SendData 012214|2023-05-14 07:54:51.604|packet|send|012214|15012214
64608e72fe11522f1d30b591|1519458|2023-05-14 07:29:32.176|11|SendData 011215|2023-05-14 07:54:51.634|packet|send|011215|15011215
64608e72fe11522f1d30b592|1519589|2023-05-14 07:29:32.176|3|SendData 003223|2023-05-14 07:54:51.765|packet|send|003223|15003223
64608e72fe11522f1d30b593|1519629|2023-05-14 07:29:32.176|1|RecvData 003223|2023-05-14 07:54:51.805|packet|recv|003223|15003223
64608e72fe11522f1d30b594|1519705|2023-05-14 07:29:32.176|1|RecvData 012214|2023-05-14 07:54:51.881|packet|recv|012214|15012214
64608e72fe11522f1d30b595|1519754|2023-05-14 07:29:32.176|8|SendData 008218|2023-05-14 07:54:51.930|packet|send|008218|15008218
64608e72fe11522f1d30b596|1520140|2023-05-14 07:29:32.176|1|RecvData 011215|2023-05-14 07:54:52.316|packet|recv|011215|15011215
